"date","close","volume","open","high","low"
"2009/07/07","66.5600","25027000.0000","67.6100","67.8100","66.3700"
"2009/07/06","68.1000","29776380.0000","67.6700","68.1500","66.3600"
"2009/07/02","68.4900","22946150.0000","69.5700","69.7200","68.0000"
"2009/07/01","70.5600","22539890.0000","70.6700","71.5100","70.4100"
"2009/06/30","69.9100","27327690.0000","70.6000","70.9700","69.1100"
"2009/06/29","70.5800","24331630.0000","69.4500","70.7800","69.1300"
"2009/06/26","69.0500","27644660.0000","69.6700","69.7900","68.8600"
"2009/06/25","69.8800","30882330.0000","68.3100","70.0300","68.0800"
"2009/06/24","68.4500","20853870.0000","69.3000","69.6200","68.1800"
"2009/06/23","68.9500","24146350.0000","69.2800","69.6400","68.5100"
"2009/06/22","68.8400","28362550.0000","70.1000","70.1700","68.6900"
"2009/06/19","71.0500","42755930.0000","71.8500","72.0000","70.4200"
"2009/06/18","71.4400","20733230.0000","71.2300","72.0900","71.1600"
"2009/06/17","71.4200","29929620.0000","71.0600","71.7800","70.8400"
"2009/06/16","71.6300","24200200.0000","73.3400","73.4300","71.5800"
"2009/06/15","72.8100","27871330.0000","72.6400","72.9600","72.2500"
"2009/06/12","73.7800","21692800.0000","73.4300","74.1600","73.1000"
"2009/06/11","74.0500","30856170.0000","74.0000","74.8300","73.1200"
"2009/06/10","73.8400","27351440.0000","73.9700","74.1200","72.8400"
"2009/06/09","73.1200","21922080.0000","73.5600","73.8200","72.3700"
"2009/06/08","73.1700","23097780.0000","72.4800","73.6900","72.0000"
"2009/06/05","72.9700","26480940.0000","73.2500","73.5000","72.0300"
"2009/06/04","72.9800","25910020.0000","72.6700","73.0500","72.0700"
"2009/06/03","72.0800","29739640.0000","72.3900","72.4500","71.3300"
"2009/06/02","72.9200","28649120.0000","71.4400","73.2100","71.4400"
"2009/06/01","71.7600","31757340.0000","70.4600","72.0400","70.2500"
"2009/05/29","69.3500","33178020.0000","69.8000","70.2500","68.9500"
"2009/05/28","69.2300","27776770.0000","68.5400","69.8000","68.1300"
